Sat.UTCGregorian           Sat.EarthMJ2000Eq.X   Sat.EarthMJ2000Eq.Y   Sat.EarthMJ2000Eq.Z   
23 Jul 2014 13:37:06.014   82064.3               -3659.21              16377.5               
23 Jul 2014 14:22:06.014   76754.2               -833.407              15537.9               
23 Jul 2014 15:07:06.014   70978.2               1996.83               14603.8               
23 Jul 2014 15:42:47.351   66015.5               4231.28               13784.5               
23 Jul 2014 16:14:45.146   61239.5               6211.26               12981.6               
23 Jul 2014 16:43:20.220   56663.5               7951.03               12198.9               
23 Jul 2014 17:08:54.363   52289.8               9467.93               11438.4               
23 Jul 2014 17:31:47.084   48117.9               10778.4               10701.4               
23 Jul 2014 17:52:15.897   44145.3               11898.2               9988.66               
23 Jul 2014 18:12:38.357   39935.3               12942.2               9221.22               
23 Jul 2014 18:28:50.962   36373.4               13704.4               8561.65               
23 Jul 2014 18:44:59.590   32609.3               14381.3               7853.71               
23 Jul 2014 18:57:54.044   29420.7               14843.9               7244.57               
23 Jul 2014 19:10:45.090   26063.7               15212                 6593.16               
23 Jul 2014 19:20:43.564   23314.9               15414.6               6051.37               
23 Jul 2014 19:31:00.241   20333.1               15523.9               5454.26               
23 Jul 2014 19:40:19.768   17479                 15509.4               4872.58               
23 Jul 2014 19:47:54.609   15041.5               15393.8               4367.03               
23 Jul 2014 19:54:26.674   12846.8               15198.5               3904.09               
23 Jul 2014 20:00:08.125   10858.8               14937.9               3477.63               
23 Jul 2014 20:05:11.727   9027.54               14618.6               3078.04               
23 Jul 2014 20:10:13.770   7143.92               14200.2               2659.39               
23 Jul 2014 20:14:47.726   5381.99               13714.4               2259.74               
23 Jul 2014 20:18:56.205   3742.03               13166.8               1879.65               
23 Jul 2014 20:22:43.925   2208.59               12557.3               1515.96               
23 Jul 2014 20:25:46.115   965.985               11982.2               1214.33               
23 Jul 2014 20:28:47.087   -275.232              11321.9               905.742               
23 Jul 2014 20:31:30.966   -1397.15              10637.3               619.35                
23 Jul 2014 20:33:59.684   -2404.93              9936.78               354.826               
23 Jul 2014 20:36:17.646   -3322.16              9213.97               106.822               
23 Jul 2014 20:38:28.799   -4169.28              8458.01               -129.734              
23 Jul 2014 20:40:36.645   -4962.21              7654.68               -359.289              
23 Jul 2014 20:42:44.536   -5712.84              6785.65               -585.814              
23 Jul 2014 20:44:55.140   -6424.59              5833.41               -811.489              
23 Jul 2014 20:47:05.204   -7067.92              4825.77               -1027.94              
23 Jul 2014 20:49:10.008   -7615.52              3811.11               -1225.49              
23 Jul 2014 20:51:12.320   -8080.33              2780.67               -1407.52              
23 Jul 2014 20:53:12.395   -8464.65              1744.18               -1573.67              
23 Jul 2014 20:55:11.875   -8775.96              698.077               -1725.76              
23 Jul 2014 20:57:16.831   -9027.72              -401.824              -1870.28              
23 Jul 2014 20:59:36.631   -9224.96              -1628.4               -2014.43              
23 Jul 2014 21:01:54.390   -9339.41              -2823.22              -2139.03              
23 Jul 2014 21:04:06.968   -9382.49              -3953.1               -2243.58              
23 Jul 2014 21:06:20.802   -9367.1               -5069.01              -2335.03              
23 Jul 2014 21:08:39.894   -9296.47              -6199.26              -2416.45              
23 Jul 2014 21:11:07.144   -9169.45              -7361.01              -2489.06              
23 Jul 2014 21:13:45.296   -8982.27              -8568.04              -2553.25              
23 Jul 2014 21:16:37.225   -8728.98              -9832.71              -2608.87              
23 Jul 2014 21:19:45.879   -8402.04              -11165.2              -2655.23              
23 Jul 2014 21:23:13.639   -7994.19              -12569                -2691.17              
23 Jul 2014 21:27:01.532   -7501.3               -14037.4              -2715.27              
23 Jul 2014 21:31:09.956   -6922.04              -15559.6              -2726.34              
23 Jul 2014 21:35:40.529   -6253.4               -17132.7              -2723.53              
23 Jul 2014 21:40:36.622   -5488.39              -18763                -2705.96              
23 Jul 2014 21:46:03.170   -4615.81              -20462.4              -2672.34              
23 Jul 2014 21:52:37.252   -3535.53              -22391.4              -2615.91              
23 Jul 2014 21:59:31.570   -2379.75              -24293.7              -2541.85              
23 Jul 2014 22:07:21.455   -1055.71              -26315.5              -2443.66              
23 Jul 2014 22:15:56.177   400.475               -28386.8              -2322.78              
23 Jul 2014 22:25:19.625   1992.47               -30505.7              -2178.29              
23 Jul 2014 22:35:37.509   3728.27               -32675.4              -2008.84              
23 Jul 2014 22:46:56.246   5616.8                -34898.8              -1812.87              
23 Jul 2014 22:59:22.911   7667.53               -37178.1              -1588.62              
23 Jul 2014 23:13:05.305   9890.4                -39514.5              -1334.18              
23 Jul 2014 23:28:12.026   12295.6               -41908.4              -1047.5               
23 Jul 2014 23:44:52.571   14893.8               -44359.2              -726.394              
24 Jul 2014 00:03:17.418   17695.6               -46865.3              -368.534              
24 Jul 2014 00:23:38.154   20711.7               -49423.6              28.5123               
24 Jul 2014 00:46:07.611   23953                 -52030.2              467.29                
24 Jul 2014 01:10:59.980   27430.1               -54679.2              950.426               
24 Jul 2014 01:38:30.971   31153.1               -57363.4              1480.61               
24 Jul 2014 02:08:57.952   35131.5               -60073.1              2060.57               
24 Jul 2014 02:42:40.146   39373.7               -62796.9              2693.02               
24 Jul 2014 03:19:58.987   43887.2               -65520.4              3380.66               
24 Jul 2014 04:01:18.042   48677.4               -68226.2              4126.03               
24 Jul 2014 04:46:18.042   53665.1               -70851.7              4918.35               
24 Jul 2014 05:31:18.042   58431.5               -73184.7              5690.38               
24 Jul 2014 06:16:18.042   62992.1               -75259.7              6442.33               
24 Jul 2014 07:01:18.042   67360.2               -77104.6              7174.56               
24 Jul 2014 07:46:18.042   71547.2               -78742                7887.44               
24 Jul 2014 08:31:18.042   75562.8               -80190.8              8581.38               
24 Jul 2014 09:16:18.042   79415.6               -81466.9              9256.79               
24 Jul 2014 10:01:18.042   83113.3               -82583.8              9914.04               
24 Jul 2014 10:46:18.042   86662.3               -83553.1              10553.5               
24 Jul 2014 11:31:18.042   90068.5               -84384.8              11175.5               
24 Jul 2014 12:16:18.042   93337.2               -85087.7              11780.4               
24 Jul 2014 13:01:18.042   96473                 -85669.5              12368.4               
24 Jul 2014 13:46:18.042   99480                 -86137                12939.9               
24 Jul 2014 14:31:18.042   102362                -86496.3              13495                 
24 Jul 2014 15:16:18.042   105122                -86752.9              14034                 
24 Jul 2014 16:01:18.042   107763                -86911.5              14557.1               
24 Jul 2014 16:46:18.042   110289                -86976.6              15064.4               
24 Jul 2014 17:31:18.042   112700                -86952.2              15556.1               
24 Jul 2014 18:16:18.042   115000                -86841.8              16032.3               
24 Jul 2014 19:01:18.042   117191                -86648.8              16493.2               
24 Jul 2014 19:46:18.042   119273                -86376                16938.7               
24 Jul 2014 20:31:18.042   121249                -86026.3              17369.2               
24 Jul 2014 21:16:18.042   123120                -85602.2              17784.4               
24 Jul 2014 22:01:18.042   124887                -85106                18184.6               
24 Jul 2014 22:46:18.042   126552                -84539.8              18569.7               
24 Jul 2014 23:31:18.042   128114                -83905.6              18939.8               
25 Jul 2014 00:16:18.042   129575                -83205.1              19294.8               
25 Jul 2014 01:01:18.042   130935                -82440.1              19634.7               
25 Jul 2014 01:46:18.042   132194                -81612.1              19959.5               
25 Jul 2014 02:31:18.042   133354                -80722.5              20269.1               
25 Jul 2014 03:16:18.042   134414                -79772.7              20563.5               
25 Jul 2014 04:01:18.042   135375                -78763.8              20842.6               
25 Jul 2014 04:46:18.042   136235                -77697.1              21106.2               
25 Jul 2014 05:31:18.042   136996                -76573.5              21354.2               
25 Jul 2014 06:16:18.042   137657                -75394                21586.6               
25 Jul 2014 07:01:18.042   138217                -74159.6              21803.1               
25 Jul 2014 07:46:18.042   138676                -72871.1              22003.5               
25 Jul 2014 08:31:18.042   139033                -71529.2              22187.7               
25 Jul 2014 09:16:18.042   139287                -70134.7              22355.5               
25 Jul 2014 10:01:18.042   139438                -68688.2              22506.6               
25 Jul 2014 10:46:18.042   139484                -67190.3              22640.7               
25 Jul 2014 11:29:10.811   139430                -65715.8              22752.4               
